timestamp,run_idx,time_ms,status,error
1767282684.1885314,1,8004.407,200,
1767282684.2111406,2,8035.007,200,
1767282684.228266,3,8048.608,200,
1767282684.2314787,4,8039.092,200,
1767282684.2413533,5,8044.987,200,
1767282684.2520776,6,8077.658,200,
1767282684.2559278,7,8054.892,200,
1767282684.3124611,8,8104.501,200,
1767282687.7903564,9,3601.380,200,
1767282688.2087033,10,3997.253,200,
1767282688.257159,11,4025.196,200,
1767282688.2980213,12,4045.651,200,
1767282688.3052936,13,4076.736,200,
1767282688.308498,14,4066.862,200,
1767282688.3118968,15,3999.068,200,
1767282688.3263748,16,4070.171,200,
1767282692.3732028,17,4582.484,200,
1767282692.442336,18,4233.249,200,
1767282692.4914448,19,4234.014,200,
1767282692.537572,20,4239.184,200,
1767282692.5505939,21,4238.251,200,
1767282692.5547647,22,4245.916,200,
1767282692.5656047,23,4260.022,200,
1767282692.6559415,24,4329.243,200,
1767282696.6332924,25,4259.867,200,
1767282697.2407439,26,4798.106,200,
1767282697.248253,27,4756.431,200,
1767282697.2816768,28,4731.084,200,
1767282697.2920907,29,4754.275,200,
1767282697.2941413,30,4727.611,200,
1767282697.2971213,31,4741.724,200,
1767282697.3768623,32,4720.603,200,
1767282700.67994,33,4046.271,200,
1767282701.293349,34,4052.472,200,
1767282701.3023753,35,4053.873,200,
1767282701.3568695,36,4064.621,200,
1767282701.3592756,37,4065.012,200,
1767282701.3706882,38,4088.312,200,
1767282701.3707254,39,4073.190,200,
1767282701.4440863,40,4066.891,200,
1767282704.6936963,41,4013.519,200,
1767282705.0879364,42,3793.768,200,
1767282705.2207892,43,3918.155,200,
1767282705.2882433,44,3917.459,200,
1767282705.3006709,45,3940.981,200,
1767282705.3040128,46,3946.834,200,
1767282705.3150115,47,3943.988,200,
1767282705.4048512,48,3960.351,200,
1767282709.229152,49,4535.197,200,
1767282709.3273842,50,4239.303,200,
1767282709.3308656,51,4109.674,200,
1767282709.854638,52,4566.061,200,
1767282709.867626,53,4566.634,200,
1767282709.8786266,54,4574.349,200,
1767282709.8959713,55,4580.680,200,
1767282710.0051506,56,4600.073,200,
1767282712.8780115,57,3648.556,200,
1767282712.9322443,58,3604.567,200,
1767282712.9626603,59,3631.525,200,
1767282713.044145,60,3189.189,200,
1767282713.055407,61,3187.574,200,
1767282713.0611596,62,3182.209,200,
1767282713.0672002,63,3170.814,200,
1767282713.6087859,64,3603.317,200,
1767282716.3423727,65,3464.094,200,
1767282717.0139499,66,4081.439,200,
1767282717.0224442,67,4059.747,200,
1767282717.568442,68,4524.028,200,
1767282717.5713744,69,4509.951,200,
1767282717.5956686,70,4528.232,200,
1767282717.6399593,71,4584.237,200,
1767282717.864214,72,4255.123,200,
1767282722.0857866,73,5743.067,200,
1767282722.5348325,74,5520.172,200,
1767282722.5348673,75,5511.849,200,
1767282722.8067389,76,5235.072,200,
1767282722.8356025,77,5239.707,200,
1767282722.8391879,78,5270.403,200,
1767282723.135812,79,5495.379,200,
1767282723.6300173,80,5765.536,200,
1767282726.2044199,81,4118.340,200,
1767282726.7532403,82,4218.065,200,
1767282726.7614293,83,4226.511,200,
1767282726.8196113,84,4012.515,200,
1767282726.8946939,85,4058.726,200,
1767282726.8993592,86,4059.827,200,
1767282727.0414386,87,3905.414,200,
1767282727.5343525,88,3903.984,200,
1767282730.346742,89,4141.836,200,
1767282730.7404563,90,3978.723,200,
1767282730.7466867,91,3993.021,200,
1767282730.799368,92,3979.357,200,
1767282730.8402317,93,3945.468,200,
1767282730.9934213,94,4093.973,200,
1767282731.5486214,95,4507.051,200,
1767282732.3476272,96,4813.202,200,
1767282733.8944151,97,3547.663,200,
1767282733.9334655,98,3186.748,200,
1767282733.935685,99,3195.158,200,
1767282733.9556623,100,3156.156,200,
