timestamp,run_idx,time_ms,status,error
1767283319.609945,1,4619.207,200,
1767283324.9366574,2,5325.505,200,
1767283329.9913933,3,5053.700,200,
1767283334.2474086,4,4255.349,200,
1767283338.103481,5,3855.172,200,
1767283341.8802967,6,3776.090,200,
1767283345.2456503,7,3364.577,200,
1767283349.153727,8,3907.516,200,
1767283352.7997396,9,3645.466,200,
1767283356.8703878,10,4070.166,200,
1767283365.2961776,11,8425.227,200,
1767283368.7358074,12,3439.146,200,
1767283372.4954221,13,3759.089,200,
1767283376.6809335,14,4185.085,200,
1767283381.2325814,15,4551.157,200,
1767283384.5336404,16,3300.534,200,
1767283386.6931617,17,2158.975,200,
1767283388.5193756,18,1825.706,200,
1767283390.6322668,19,2112.367,200,
1767283393.5013628,20,2868.448,200,
1767283396.6934025,21,3191.619,200,
1767283399.0128198,22,2318.991,200,
1767283400.9389482,23,1925.601,200,
1767283403.4658117,24,2526.399,200,
1767283405.6667247,25,2200.464,200,
1767283407.6735184,26,2006.087,200,
1767283409.4732208,27,1798.999,200,
1767283411.1168835,28,1643.088,200,
1767283413.00321,29,1885.746,200,
1767283414.9234807,30,1919.738,200,
